<id>	<title>
1025	Emil Blonsky (Earth-616)
1026	Absalom (Earth-616)
1027	Carl Creel (Earth-616)
1029	Adam Warlock (Earth-616)
1030	Adam Neramani (Earth-616)
1032	Eric Cameron (Earth-616)
1033	Adri Nital (Earth-616)
1034	Adversary (Earth-616)
1035	Aeroika (Earth-616)
1036	Agatha Harkness (Earth-616)
1037	Agent Axis (Earth-616)
1038	Cynthia Glass (Earth-616)
1039	Christoph Nord (Earth-616)
1040	Aginar (Earth-616)
1041	Agon (Earth-616)
1042	Agron (Earth-76216)
1043	Alejandro Montoya (Earth-616)
1047	Gabriel Lan (Earth-616)
1048	Air-Walker (Automaton) (Earth-616)
1050	Ajak (Earth-616)
1052	Thomas Jones (Earth-616)
1054	Allatou (Earth-616)
1056	Alpha (Mutant) (Earth-616)
1057	Marlene Alraune (Earth-616)
1058	Amaa (Earth-616)
1060	Ambur (Earth-616)
1061	Jason Strongbow (Earth-616)
1062	Lyle Dekker (Earth-616)
1063	Ammo (Earth-616)
1064	Kingsley Rice (Earth-712)
1065	Amphibius (Earth-616)
1066	Blanche Sitznski (Earth-616)
1067	Tike Alicar (Earth-616)
1068	Yao (Earth-616)
1069	Andromeda Attumasen (Earth-616)
1070	David Angar (Earth-616)
1071	Thomas Halloway (Earth-616)
1072	Simon Halloway (Earth-616)
1073	Warren Worthington III (Earth-616)
1074	Angel Salvadore (Earth-616)
1075	Frederick Animus (Earth-616)
1078	Annihilus (Earth-616)
1080	Scott Lang (Earth-616)
1081	John Anvil (Earth-616)
1084	En Sabah Nur (Earth-616)
1085	Wundarr (Earth-616)
1086	Darren Bentley (Earth-616)
1087	Zachary Drebb (Earth-616)
1090	Aragorn (Earth-616)
1091	Arcade (Earth-616)
1092	Arcanna Jones (Earth-712)
1093	Archer (Earth-1191)
1094	Philippa Sontag (Earth-616)
1095	Ares (Earth-616)
1097	Ariel (Coconut Grove) (Earth-616)
1098	Marcus Lassiter (Earth-616)
1099	Grover Raymond (Earth-616)
1103	Arishem (Earth-616)
1104	Arkon (Earth-616)
1105	Arkus (Earth-616)
1106	Antonio Rodriguez (Earth-616)
1107	Arnim Zola (Earth-616)
1108	Arsenal (Robot) (Earth-616)
1110	Cleo Nefertiti (Earth-616)
1111	Jen Askani (Earth-4935)
1112	Charles Benton (Earth-616)
1113	Astra (Imperial Guard) (Earth-616)
1114	Astra (Mutant) (Earth-616)
1115	Vance Astro (Earth-691)
1116	Seginn Gallio (Earth-616)
1117	Erik Josten (Earth-616)
1118	Ronald English (Earth-616)
1119	Michael English (Earth-616)
1120	Attuma (Earth-616)
1122	Jeanne-Marie Beaubier (Earth-616)
1123	Autolycus (Sark) (Earth-616)
1124	Dominikos Petrakis (Earth-616)
1125	Azur (Earth-616)
1127	Balder Odinson (Earth-616)
1128	Angelo Baldini (Earth-616)
1129	Balor (Earth-616)
1130	Elizabeth Ross (Earth-616)
1131	Sean Cassidy (Earth-616)
1132	Bantam (Earth-1191)
1133	Baphomet (Earth-616)
1134	Barbarus (Earth-616)
1135	John Falsworth (Earth-616)
1136	Walther Theodoric (Earth-616)
1137	Baron Macabre (Earth-616)
1138	Karl Mordo (Earth-616)
1139	Baron Samedi (A.I.M.) (Earth-616)
1140	Wolfgang von Strucker (Earth-616)
1141	Heinrich Zemo (Earth-616)
1142	Helmut Zemo (Earth-616)
1143	Barrage (Earth-616)
1146	Georges Batroc (Earth-616)
1147	Battering Ram (Earth-616)
1148	Lemar Hoskins (Earth-616)
1149	Barnell Bohusk (Earth-616)
1151	William Nowlan (Earth-616)
1152	Buford Wilson (Earth-616)
1154	Behemoth (Atlantean Beast) (Earth-616)
1155	Belasco (Earth-616)
1156	Belathauzer (Earth-616)
1158	Narda Ravanna (Earth-616)
1161	Ben Urich (Earth-616)
1162	Bereet (Earth-616)
1163	Beta Ray Bill (Earth-616)
1165	Bethany Cabe (Earth-616)
1166	Fabian Marechal-Julbin (Earth-616)
1167	Beyonder (Earth-616)
1168	Bi-Beast (Earth-616)
1169	Bi-Beast (Duplicate) (Earth-616)
1173	Bird-Brain (Earth-616)
1174	Henry Hawk (Earth-616)
1175	Achille DiBacco (Earth-616)
1176	Birdy (Earth-616)
1177	Lucas Bishop (Earth-1191)
1178	Harry Leland (Earth-616)
1179	Blackagar Boltagon (Earth-616)
1180	Felicia Hardy (Earth-616)
1181	Jesse Black Crow (Earth-616)
1182	Black Fox (Thief) (Earth-616)
1183	William Foster (Earth-616)
1184	Sebastian Shaw (Earth-616)
1185	Sir Percy of Scandia (Earth-616)
1186	Nathan Garrett (Earth-616)
1187	Dane Whitman (Earth-616)
1188	Jerald (Earth-7511)
1189	Tanya Sealy (Earth-616)
1190	T'Challa (Earth-616)
1193	Carson Knowles (Earth-616)
1195	Desmond Drew (Earth-616)
1197	Thomas Cassidy (Earth-616)
1199	Yelena Belova (Earth-616)
1200	Amanda Mueller (Earth-616)
1202	Marcus Daniels (Earth-616)
1203	Joseph Manfredi (Earth-616)
1204	Eric Brooks (Earth-616)
1205	Eric Brooks (Doppelganger) (Earth-616)
1206	Blaquesmith (Earth-4935)
1207	Blastaar (Earth-616)
1210	Blindside (Brood) (Earth-616)
1211	Clarice Ferguson (Earth-295)
1212	Franz Mittelstaedt (Earth-616)
1213	Gregor Shapanka (Earth-616)
1214	Donald Gill (Earth-616)
1215	Frederick Dukes (Earth-616)
1217	Mickey Tork (Earth-616)
1218	Jackie Lukus (Earth-616)
1219	Bloodscream (Earth-616)
1220	Ulysses Bloodstone (Earth-616)
1221	Johann Goldstein (Earth-616)
1222	Joseph Cartelli (Earth-616)
1223	Don Thomas (Earth-616)
1224	Bonebreaker (Earth-616)
1226	Frederick Myers (Earth-616)
1229	Roger Bochs (Earth-616)
1232	Madison Jeffries (Earth-616)
1233	James Braddock Jr. (Earth-616)
1235	Brainchild (Earth-616)
1236	Werner Schmidt (Brain Drain) (Earth-616)
1237	Lucas Brand (Earth-616)
1238	Bres (Earth-616)
1239	Brickbat (Earth-616)
1240	George Washington Bridge (Earth-616)
1241	Brona (Earth-616)
1243	Tode (Earth-616)
1244	Jericho Drumm (Earth-616)
1245	Percy  Barton Grimes (Earth-616)
1248	Brutacus (Earth-616)
1249	Reed Richards (Counter-Earth) (Earth-616)
1250	Brynocki (Earth-616)
1252	Fred Davis Jr. (Earth-616)
1254	Henry Camp (Earth-616)
1255	Buck Cashman (Earth-616)
1256	Bullseye (Lester) (Earth-616)
1257	Burke (Earth-616)
1258	Byron Calley (Earth-616)
1259	Raul Bushman (Earth-616)
1260	Quincy McIver (Earth-616)
1261	Carl Burbank (Earth-616)
1262	Byrrah (Earth-616)
1264	Franz Cadavus (Earth-616)
1265	Luke Cage (Earth-616)
1266	Cagliostro (O-Bengh) (Earth-616)
1267	Caliban (Earth-616)
1268	Callisto (Earth-616)
1269	Calypso Ezili (Earth-616)
1270	Cameron Hodge (Earth-616)
1272	Jack Kleveno (Earth-616)
1273	Cancer (LMD) (Earth-616)
1274	Candra (Earth-616)
1275	Jack Pulver (Earth-616)
1276	Samuel Guthrie (Earth-616)
1277	Willard Weir (Earth-616)
1284	Captain Barracuda (Earth-616)
1285	Brian Braddock (Earth-616)
1286	Jebediah Fate (Earth-616)
1287	Genis-Vell (Earth-616)
1289	Mar-Vell (Earth-616)
1290	Nathaniel Omen (Earth-616)
1291	Griffin Gogol (Earth-616)
1292	Captain Universe (Earth-616)
1293	Roger Dicken (Earth-616)
1294	Elias Wirtham (Earth-616)
1299	Margaret Carter (Earth-616)
1300	Sharon Carter (Earth-616)
1301	Shirlee Bryant (Earth-616)
1302	Townshend Horgan (Earth-616)
1303	Sharon Smith (Earth-616)
1304	Cecilia Reyes (Earth-616)
1308	Clifford Michaels (Earth-616)
1309	Cerberus (Earth-616)
1310	Cerise (Earth-616)
1311	Cethlann (Earth-616)
1312	Ch'od (Earth-616)
1314	Robert Hao (Earth-616)
1315	Jonothon Starsmore (Earth-616)
1316	Dmitri Smerdyakov (Earth-616)
1317	Tryco Slatterus (Earth-616)
1318	Nicholas Powell (Earth-616)
1319	Chance (Fallen Angels) (Earth-616)
1320	Changeling (Earth-616)
1321	Charles Burlingame (Earth-616)
1322	Charlie-27 (Earth-691)
1323	Esteban Carracus (Earth-616)
1324	Curtis Carr (Earth-616)
1325	Arch Morton (Earth-616)
1326	Calvin Carr (Earth-616)
1327	Lila Cheney (Earth-616)
1328	Chief Examiner (Earth-616)
1329	Jun Ching (Earth-616)
1330	Harvey Schlemerman (Earth-616)
1331	Allen Marc Yuric (Earth-616)
1332	Chthon (Earth-616)
1333	John Watkins (Earth-616)
1334	William Knoblach (Earth-616)
1335	Clea (Earth-616)
1336	Tyrone Johnson (Earth-616)
1337	Cloud (Earth-616)
1338	Eliot Franklin (Clown) (Earth-616)
1339	Coach (Earth-616)
1340	Ralph Roberts (Earth-616)
1341	Klaus Voorhees (Earth-616)
1342	Han, Chang, Lin, Sun, and Ho Tao-Yu (Earth-616)
1343	Taneleer Tivan (Earth-616)
1344	Colleen Wing (Earth-616)
1345	Russell Collins (Earth-616)
1346	Piotr Rasputin (Earth-616)
1347	Harris Moore (Earth-616)
1348	Stephen Beckley (Earth-616)
1349	Commander Kraken (Earth-616)
1350	Frank Bohannan (Earth-616)
1352	Frank Payne (Earth-616)
1353	Tath Ki (Earth-616)
1354	Valentina Allegra de Fontaine (Earth-616)
1355	Basil Sandhurst (Earth-616)
1356	Valerie Cooper (Earth-616)
1357	Davis Lawfers (Earth-616)
1358	Vanessa Carlysle (Earth-616)
